Date,Close,High,Low,Open,Volume,MA10,MA50,Returns,Volatility,Stock
2025-06-04,202.20468139648438,205.6143037964219,201.48686455307688,202.29440469878628,43604000,200.18482513427733,203.69753326416014,-0.002213824650510565,0.015546101401998956,AAPL
2025-06-05,200.0213165283203,204.12881205428334,199.54276184010462,202.8826044104843,55126100,200.03926696777344,203.24237915039063,-0.010797795842732771,0.014105189866224268,AAPL
2025-06-06,203.30133056640625,205.07592905349443,201.4370087789868,202.3841235560851,46607700,200.29448852539062,202.89703216552735,0.01639832241390904,0.01502528100274675,AAPL
2025-06-09,200.8388214111328,205.3750202901374,199.41316716451473,203.76990423179717,72862600,200.91061401367188,202.45623626708985,-0.012112607174841306,0.011457174238646863,AAPL
2025-06-10,202.0551300048828,203.73004106569937,199.96151019448254,199.99141796230995,54672600,201.15586700439454,202.1582504272461,0.006056142857262303,0.008585500569461085,AAPL
2025-06-11,198.1769256591797,203.8795731269679,197.80805305990708,202.88260699920767,60989900,200.99236297607422,201.69846771240233,-0.019193793028711492,0.010752444717497457,AAPL
2025-06-12,198.5956573486328,199.07419684911244,196.7612432530472,198.47602627663701,43904600,200.91759185791017,201.22595184326173,0.0021129184846335747,0.010772241466054643,AAPL
2025-06-13,195.85400390625,199.76210952406473,195.1062792678608,199.12405177447246,51447300,200.4789260864258,200.68466339111328,-0.013805203391582088,0.0113985457030145,AAPL
2025-06-16,197.81802368164062,198.08720880439395,195.96366601516638,196.701426450214,43020700,200.15192108154298,200.59485870361328,0.010027978679112204,0.011895854659367155,AAPL
2025-06-17,195.0464630126953,197.7881200100286,194.61777485692886,196.60172782081946,38856200,199.3912353515625,200.74453735351562,-0.014010657964138473,0.01198696104114817,AAPL
2025-06-18,195.9835968017578,196.97059871241268,194.4781834746436,195.34553910938874,45394700,198.76912689208984,201.05075805664063,0.004804669485349855,0.012288819644365859,AAPL
2025-06-20,200.3902130126953,201.0880863339216,196.26277341287403,197.63859168364695,96813500,198.80601654052734,201.62512634277343,0.022484617502937843,0.014300293471453937,AAPL
2025-06-23,200.888671875,201.686247808318,198.3563846401482,201.01828233775666,55814300,198.56475067138672,201.68315795898437,0.002487441151994396,0.01319133602023224,AAPL
2025-06-24,199.6923065185547,202.82277936444737,199.59260382672892,201.9753521214132,54064000,198.4500991821289,201.88513061523437,-0.0059553649555199595,0.012757528778643026,AAPL
2025-06-25,200.948486328125,203.052085424857,200.01133575244882,200.83881944772682,39525700,198.3394348144531,201.9582977294922,0.00629057689537782,0.012771121433888893,AAPL
2025-06-26,200.3902130126953,202.02523702778157,198.85489170599743,200.81890119127095,50799100,198.56076354980468,201.93327880859374,-0.002778191195320079,0.011034796199499586,AAPL
2025-06-27,200.469970703125,202.6034778198992,199.39324535272064,201.27751091280393,73188600,198.7481948852539,201.917421875,0.00039801190502575245,0.011031768208691008,AAPL
